epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,9404.45,1.47192,0.53062,0.00274,0.94193,0.94124,0.97061,0.62858,1.78724,0.67079,0.00477,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9531.59,1.44967,0.51858,0.00271,0.9611,0.95061,0.97052,0.64159,1.74807,0.63277,0.00461,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9658.65,1.47669,0.51635,0.00267,0.94099,0.90644,0.96451,0.65041,1.8004,0.66217,0.00475,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9787.87,1.44817,0.51637,0.00261,0.9339,0.93071,0.96877,0.63313,1.70057,0.57058,0.00438,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9916.25,1.46913,0.52745,0.00286,0.93473,0.93068,0.97253,0.6128,1.75576,0.56137,0.00456,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10044,1.39151,0.52878,0.00277,0.94029,0.92781,0.97363,0.64543,1.81986,0.57995,0.00482,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10170.1,1.45176,0.50991,0.00272,0.95516,0.93108,0.9778,0.64843,1.80683,0.54303,0.00471,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10297.4,1.47053,0.49124,0.00254,0.91341,0.93465,0.96829,0.63635,1.85361,0.57741,0.00487,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10423.8,1.39243,0.4906,0.00257,0.86234,0.92573,0.97422,0.63833,1.83454,0.59679,0.00487,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10550.3,1.3938,0.49395,0.00272,0.85295,0.95806,0.96985,0.6149,1.84763,0.59468,0.00499,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10677.2,1.41212,0.49552,0.0026,0.90874,0.90925,0.96175,0.62672,1.73325,0.57666,0.0046,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10804.9,1.40489,0.50134,0.00264,0.93042,0.92599,0.96562,0.63029,1.74991,0.64626,0.00462,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10931.7,1.41189,0.48368,0.00257,0.92186,0.9062,0.96645,0.61931,1.78909,0.58771,0.00467,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11058.3,1.39495,0.49168,0.00252,0.91405,0.92426,0.96198,0.61632,1.73208,0.58713,0.0045,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,11185.6,1.38691,0.49236,0.0026,0.89452,0.91641,0.96086,0.63247,1.68704,0.61122,0.00438,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,11312.7,1.39406,0.49669,0.00245,0.9099,0.9271,0.95521,0.62191,1.74703,0.58797,0.00464,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,11439.2,1.36259,0.48149,0.00249,0.90531,0.93617,0.96537,0.61795,1.809,0.57978,0.0048,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,11566.8,1.38487,0.48175,0.00246,0.92145,0.93393,0.96975,0.63008,1.83459,0.59978,0.00489,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,11692.7,1.32324,0.42353,0.00267,0.92262,0.92968,0.96624,0.63598,1.81941,0.58041,0.00481,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
